epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77074,1.91014,3.46609,2.05229,0.06041,0.13333,0.08489,0.03881,1.72832,2.38859,2.22111,6e-05,6e-05,6e-05
2,2.79646,1.87265,3.53236,1.85248,0.0587,0.13333,0.05395,0.02302,1.72094,2.53665,2.19759,0.000137228,0.000137228,0.000137228
3,4.0013,1.77775,3.39478,1.83225,0.00171,0.03333,0.00036,6e-05,2.34185,25.7779,2.56047,0.000211288,0.000211288,0.000211288
4,6.12197,1.55793,5.66104,1.666,0.02582,0.96667,0.02844,0.01262,2.95814,437.85,3.86277,0.00028218,0.00028218,0.00028218
5,8.05319,1.30265,1.60604,1.59181,0.02954,0.93333,0.03747,0.01363,nan,nan,nan,0.000349904,0.000349904,0.000349904
6,10.0328,1.30194,1.16289,1.60287,0.00582,0.9,0.0079,0.00417,nan,nan,nan,0.00041446,0.00041446,0.00041446
7,12.0144,0.99264,0.98623,1.4138,0.00039,0.1,0.00044,7e-05,nan,nan,nan,0.000475848,0.000475848,0.000475848
8,13.9154,1.09971,1.01712,1.42486,0,0,0,0,nan,nan,nan,0.000534068,0.000534068,0.000534068
9,15.8562,1.14077,0.85847,1.40947,0,0,0,0,nan,nan,nan,0.00058912,0.00058912,0.00058912
10,17.9586,0.90291,0.69074,1.24849,0,0,0,0,nan,nan,nan,0.000641004,0.000641004,0.000641004
11,19.854,1.18299,0.83684,1.40576,0,0,0,0,nan,nan,nan,0.00068972,0.00068972,0.00068972
12,21.7596,0.95803,0.62667,1.26088,0,0,0,0,nan,nan,nan,0.000735268,0.000735268,0.000735268
13,23.6775,1.00233,0.67112,1.33098,0,0,0,0,nan,nan,nan,0.000777648,0.000777648,0.000777648
14,25.5205,0.84395,0.64688,1.19453,0,0,0,0,nan,nan,nan,0.00081686,0.00081686,0.00081686
15,27.3661,0.97446,0.63154,1.26625,0,0,0,0,nan,nan,nan,0.000852904,0.000852904,0.000852904
16,29.2262,0.93338,0.55472,1.23828,0,0,0,0,nan,nan,nan,0.00088578,0.00088578,0.00088578
17,31.3581,0.94524,0.57894,1.26339,0,0,0,0,nan,nan,nan,0.000915488,0.000915488,0.000915488
18,33.1995,1.03659,0.55531,1.22939,0,0,0,0,nan,nan,nan,0.000942028,0.000942028,0.000942028
19,35.063,1.0769,0.58865,1.40726,0,0,0,0,nan,nan,nan,0.0009654,0.0009654,0.0009654
20,36.925,0.95178,0.56749,1.25643,0.00203,0.16667,0.00095,0.00063,2.85865,406.264,6.56627,0.000985604,0.000985604,0.000985604
21,38.7856,1.07972,0.58818,1.32434,1,0.96667,0.96554,0.63521,1.28361,5.44416,2.11708,0.00100264,0.00100264,0.00100264
22,41.2547,0.86215,0.55352,1.24242,0.19091,0.7,0.19441,0.12578,nan,nan,nan,0.00101651,0.00101651,0.00101651
23,43.2346,0.89444,0.56208,1.17638,0.08159,0.7,0.06147,0.03709,nan,nan,nan,0.00102721,0.00102721,0.00102721
24,45.0692,0.97934,0.53302,1.13391,0.28846,0.53333,0.27124,0.0778,2.72358,4.51711,2.72401,0.00103474,0.00103474,0.00103474
25,46.8898,0.976,0.61519,1.22041,0.50615,0.5,0.3968,0.27663,nan,nan,nan,0.0010391,0.0010391,0.0010391
26,48.7569,0.96322,0.52425,1.25033,0.20152,0.73333,0.18905,0.11596,nan,nan,nan,0.00101,0.00101,0.00101
27,50.554,1.16587,0.5721,1.36876,0.09566,0.46667,0.05189,0.01723,nan,nan,nan,0.0009704,0.0009704,0.0009704
28,52.6047,1.08419,0.58966,1.28169,0.05519,0.43333,0.02726,0.01666,nan,nan,nan,0.0009308,0.0009308,0.0009308
29,54.4343,0.9825,0.55241,1.22627,0.02155,0.16667,0.04263,0.03035,nan,nan,nan,0.0008912,0.0008912,0.0008912
30,56.2293,1.03577,0.55148,1.27645,0.25164,0.36667,0.11161,0.07377,nan,nan,nan,0.0008516,0.0008516,0.0008516
31,58.0531,1.08019,0.58337,1.32919,0.86762,0.66667,0.63904,0.39925,1.37253,1.33157,1.77233,0.000812,0.000812,0.000812
32,59.8755,0.87692,0.53342,1.23273,0.51406,0.83333,0.535,0.31097,1.29655,2.3469,1.84482,0.0007724,0.0007724,0.0007724
33,61.7112,0.927,0.52874,1.18471,0.10747,0.53333,0.08061,0.04468,1.45617,9.93034,22.173,0.0007328,0.0007328,0.0007328
34,63.5214,0.95828,0.51719,1.25806,0.08212,0.3,0.034,0.01697,2.16732,12.5071,50.8475,0.0006932,0.0006932,0.0006932
35,65.4731,0.78921,0.44556,1.14931,0.97754,0.36667,0.37654,0.22282,1.79087,1.47523,6.35379,0.0006536,0.0006536,0.0006536
36,67.3053,0.79273,0.42944,1.19208,0.91969,0.13333,0.14849,0.10586,2.55447,2.73389,12.2437,0.000614,0.000614,0.000614
37,69.1177,0.78195,0.45151,1.14624,0.94015,0.1,0.11,0.08265,2.6674,3.1073,33.4793,0.0005744,0.0005744,0.0005744
38,70.9331,0.82937,0.4324,1.10147,0.03956,0.1,0.00858,0.0055,2.67265,10.7192,161.935,0.0005348,0.0005348,0.0005348
39,72.7876,0.76105,0.47337,1.2116,0.05098,0.13333,0.02366,0.00885,3.17016,8.37923,147.448,0.0004952,0.0004952,0.0004952
40,74.5983,0.8007,0.46203,1.10277,0.9661,0.1,0.11357,0.08294,2.50181,3.00475,36.1214,0.0004556,0.0004556,0.0004556
41,77.1222,0.79657,0.41246,1.28982,0.94657,0.13333,0.14649,0.08895,3.07359,3.67841,30.2221,0.000416,0.000416,0.000416
42,78.9629,0.88104,0.39275,1.19152,0.07016,0.16667,0.02513,0.01274,2.90986,6.91493,29.2642,0.0003764,0.0003764,0.0003764
43,80.7296,0.88497,0.42859,1.22892,0.17441,0.53333,0.10946,0.05662,1.84147,3.59903,16.0329,0.0003368,0.0003368,0.0003368
44,82.5041,0.81884,0.41011,1.31877,0.49313,0.76667,0.39341,0.20107,1.508,1.22443,5.59467,0.0002972,0.0002972,0.0002972
45,84.3055,0.77952,0.37024,1.19947,0.88345,0.75827,0.72372,0.39425,1.4294,0.98097,3.67895,0.0002576,0.0002576,0.0002576
46,86.0993,0.83106,0.3643,1.32578,0.89709,0.73333,0.77209,0.46589,1.33887,0.79973,3.43841,0.000218,0.000218,0.000218
47,88.0938,0.76854,0.38515,1.19145,0.92555,0.83333,0.88296,0.57935,1.17289,0.6309,3.18468,0.0001784,0.0001784,0.0001784
48,89.8898,0.73677,0.34111,1.17364,0.99784,0.9,0.91098,0.62637,1.12624,0.58959,2.45605,0.0001388,0.0001388,0.0001388
49,91.7528,0.59364,0.35333,1.203,0.96642,0.95952,0.97095,0.6718,1.08945,0.47075,2.00328,9.92e-05,9.92e-05,9.92e-05
50,94.2901,0.77066,0.37752,1.20583,0.97379,0.96667,0.98136,0.67163,1.10284,0.44531,1.98078,5.96e-05,5.96e-05,5.96e-05
